t,ra,dec,distance,age,group_name,x,y,z
-50.204081632653065,217.19043021876027,-60.713386312954384,10270.421519711046,74.13102413009177,ASCC_105,7206.200689471652,-7317.931596662424,-10.34225177383587
-50.204081632653065,222.77693364086258,-59.57885196942498,9807.02000712904,16.98243652461746,ASCC_107,7237.412672640989,-6617.918375974632,-25.604590646180895
-50.204081632653065,191.75004334681788,-62.90768166743502,9159.966914214561,47.863009232263806,ASCC_114,4911.756058641433,-7731.72715539622,-6.440839483175296
-50.204081632653065,206.48723619807424,-62.26507009729059,10425.98737923379,44.668359215096345,ASCC_123,6593.341918597138,-8076.442917988677,-11.178948187528476
-50.204081632653065,207.49514628567093,-62.436490263744645,10019.90093119564,18.197008586099827,ASCC_127,6393.065142205318,-7715.166524553398,-57.77765056817725
-50.204081632653065,203.77769226437928,-61.93077041343269,10563.151912505567,13.489628825916531,ASCC_16,6509.651710644172,-8318.40666661369,93.39947330873656
-50.204081632653065,205.01456191490587,-61.8642605665379,10460.241076167813,10.471285480508984,ASCC_19,6530.061261020861,-8171.146323587596,85.5047214131182
-50.204081632653065,203.50399594640058,-61.995979920518096,10537.143018396147,8.912509381337458,ASCC_21,6473.701302516146,-8313.561278853036,85.2836367122809
-50.204081632653065,208.64819079348032,-61.56030124891197,10606.51580677007,25.118864315095824,ASCC_32,6870.937290891304,-8079.7925840758035,73.14439292453699
-50.204081632653065,217.68313217566367,-60.90702568603675,10656.683045252848,52.48074602497723,ASCC_58,7497.159114350299,-7573.229850952317,-60.731916967064535
-50.204081632653065,219.7410144515904,-60.0317456275844,11074.651445850926,18.620871366628656,ASCC_79,7964.440828589764,-7695.148327774576,16.70773858249595
-50.204081632653065,216.47372153239408,-61.109647988379905,10299.245512663525,70.79457843841374,ASCC_85,7166.128832960952,-7397.170093446393,-54.13213599818255
-50.204081632653065,222.42780875173355,-59.814660388318586,10597.975382080256,83.17637711026708,ASCC_87,7788.248667685066,-7187.316416366681,-52.417749922225994
-50.204081632653065,219.94092846543134,-59.38577193700519,10233.12400793358,91.20108393559096,Alessi_10,7402.47959087878,-7064.502289562799,113.71134126269908
-50.204081632653065,212.94788364299694,-60.975973568720455,10126.837774610542,35.481338923357534,Alessi_13,6844.672931148469,-7463.145218454856,68.9871519690414
-50.204081632653065,214.91133883779654,-61.73230037288772,9936.34180115571,25.70395782768865,Alessi_19,6798.281465815829,-7245.855530978363,-108.78936128825126
-50.204081632653065,209.416013260783,-61.84048099499037,9993.78391614933,9.332543007969903,Alessi_20,6511.71093671618,-7581.114929705704,5.836259864692693
-50.204081632653065,214.99293097395153,-61.271264801527686,10731.82477929547,66.06934480075964,Alessi_21,7368.9816866628025,-7801.838528221048,-38.56908987909446
-50.204081632653065,214.14535703583178,-61.04027464620001,10176.790112806184,72.44359600749905,Alessi_24,6947.752183003804,-7436.068631019081,26.07524591539095
-50.204081632653065,212.11020730692854,-61.71848296097767,10793.955759165836,11.481536214968816,Alessi_43,7211.206576731972,-8031.59963842418,-37.25434996651438
-50.204081632653065,218.26670354394795,-60.616103596313835,10558.914617057224,67.60829753919819,Alessi_5,7477.26686569062,-7455.215308934128,-30.377738297421274
-50.204081632653065,223.637930905809,-59.02777911237751,10743.740819122433,87.09635899560814,Alessi_Teutsch_12,8009.232992880289,-7160.964644853888,27.18472710984406
-50.204081632653065,192.8899800225011,-63.466373123566804,9307.750727894128,18.620871366628656,Alessi_Teutsch_5,5061.671335580879,-7810.529820006308,-96.59624198065649
-50.204081632653065,198.80037348695032,-62.12670243937624,9622.37557655419,10.471285480508984,Aveni_Hunter_1,5615.500363974171,-7813.16394119724,103.61769370018737
-50.204081632653065,216.91606642847304,-60.8876017207838,10731.174542519437,32.35936569296281,BH_164,7504.304191392854,-7670.886444143477,-32.04412764767494
-50.204081632653065,215.0056278200757,-60.954762974922936,10564.862748581809,28.84031503126605,BH_23,7269.3666229524815,-7666.313142689604,16.63116654494752
-50.204081632653065,212.9615142351966,-61.39297186153845,10930.00125258601,17.78279410038923,BH_56,7370.633739491821,-8070.853913728124,-1.6622442389098069
-50.204081632653065,217.5680611732297,-60.96766388467624,10621.18455478074,95.49925860214368,BH_99,7462.339922494521,-7557.681012932881,-67.09645751622611
-50.204081632653065,193.88501930301655,-62.25237261624389,9683.925479751995,100.0,COIN-Gaia_8,5331.833338999835,-8083.263058878119,104.03972076134505
-50.204081632653065,207.2053263241605,-61.85131603707795,10595.91652364127,24.54708915685029,Collinder_132,6760.379185845795,-8158.935129203603,49.97796518840369
-50.204081632653065,205.83009929427863,-62.28553896512863,10682.439753115043,26.30267991895381,Collinder_135,6711.606429212217,-8310.766861567758,-3.520079120290575
-50.204081632653065,205.27831120656234,-62.336094800040925,10695.149981383809,26.915348039269134,Collinder_140,6681.570185374254,-8351.217952963172,-3.418233102153863
