cluster,ref,SimbadName,ra,ra_error,dec,dec_error,GLON,GLAT,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,ruwe,N_dr3,radial_velocity_error,radial_velocity_med,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_med,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_med,rv_weighted_std,NF_VRAD_FLAG,N_ges,VRAD,E_VRAD,VRAD_med,VRAD_std,N_galah,rv_galah,e_rv_galah,rv_galah_med,rv_galah_std,N_rave,HRV,e_HRV,HRV_med,HRV_std,N_X,X,X_std,N_Y,Y,Y_std,N_Z,Z,Z_std,N_U,U,U_std,N_V,V,V_std,N_W,W,W_std,vx,vy,vz,age_myr,N_tot,l,b,rv_lsr,rv_lsr_m_s,d_to_rw
Platais_8,CantatGaudin+2020,Cl Platais 8,136.84405158304298,0.0385068513770804,-58.37327605304773,0.0392802496092014,276.9200535104599,-7.397614108786689,-15.67331700733726,0.0522988215441952,14.604597753973476,0.0495511547649076,7.440814597698055,0.0418101938979885,1.3060981063481192,91,4.624904087611607,21.25140953063965,14.427406332548074,18.87912087912088,0,,,,,,,92,20.530341810091013,4.534003639944615,21.397582054138184,14.760530656723368,3.0,1,50.709999084472656,0.3199999928474426,50.709999084472656,0.0,0,,,,,1,5.92,2.067,5.92,0.0,211,16.126070155282363,6.926859785379696,211,-132.26249792589803,4.745112871498624,211,-17.336756310294668,3.725878246659426,92,-11.257895149864869,1.654459163359448,92,-21.600011265978964,14.55610338331205,92,-3.872899126377714,1.8386101931337555,-0.1578951498648688,-9.360011265978963,3.377100873622286,30.19951853033241,211,276.9514623116049,-7.413382821722214,8.758853437713796,8758.853437713797,312.30367212213827
UPK_640,CantatGaudin+2020, ,250.3246203833201,0.0508523906475236,-39.55487352499267,0.0315754433243828,343.62141042826096,4.497566997411477,-11.957842057122177,0.0704198394222353,-21.424231015151022,0.0546210224585242,5.6908921827912,0.0576768463486698,1.2127716718042112,228,5.226769162897478,0.5611315369606018,28.968120558363,15.68859649122807,1,10.08531379699707,0.1348874568939209,27.53654670715332,10.08531379699707,0.0,5.0,228,0.253892193474525,5.227362856258518,0.596586287021637,28.974899848442327,,0,,,,,0,,,,,3,1.8343333333333327,6.254666666666666,2.144,1.665818384125019,607,168.17097208653985,5.506405084535663,607,-49.44859191736269,4.497136228891273,607,13.790082181063347,3.184605670963649,228,-5.007748129586895,27.667934346915445,228,-19.31255813987797,8.077042028595264,228,-4.250699791969631,3.0696340523287096,6.092251870413104,-7.072558139877971,2.999300208030369,25.118869830988675,607,343.6146800521674,4.498196311124186,8.051040443246853,8051.040443246853,412.8584295159296
Theia_98,He+2022,,309.8202495807204,0.0333231775848953,43.71922622404125,0.0363703723307009,82.81398121014202,1.3495824479282046,2.920894806735036,0.0442557379051491,-0.7110847682389468,0.0458599064085218,2.094515735045774,0.0408702161577012,1.3396167048701533,24,3.9118242263793945,-14.60361671447754,8.944621587757558,21.33333333333333,0,,,,,,,24,-13.576245819528898,3.911824325720469,-14.60361623764038,8.944621587757554,,0,,,,,0,,,,,0,,,,,54,59.78165085087696,5.4801960203205065,54,474.1137111102109,16.800205986875003,54,11.231246363208356,2.8893866487989146,24,-4.330117840511649,3.161660457729964,24,-12.992360216992337,8.86230740738791,24,-6.074529283891285,2.781806232181559,6.769882159488351,-0.7523602169923365,1.1754707161087152,50.11870135142811,54,82.81342264852677,1.3463651161171428,0.1280595508148998,128.05955081489984,110.8229797403408
UPK_101,Sim+2019,,285.1018059218734,0.0417508971825074,39.920592310964494,0.0477012034212605,70.28411521298634,15.420250768582145,1.3976454046459876,0.0563264053859067,-1.6366138480687615,0.0611319488353943,2.858300729202373,0.0500687159849016,1.0963940566845154,25,6.215103759765625,-17.89728355407715,23.44501470848496,19.72,4,-12.131837844848633,0.5910689234733582,18.11385154724121,-15.845586776733398,10.619150192437235,4.5,26,-13.331029792973224,5.811379588735478,-17.592370195825453,23.254626488691592,,0,,,,,0,,,,,0,,,,,89,113.96871206447618,6.752920923718542,89,317.90655213649467,12.423586069737498,89,93.09696770839209,4.732089039432365,26,-2.405461366165231,7.414128224279657,26,-11.886416273702473,21.080811230870744,26,-6.655997387362512,6.521880083935518,8.69453863383477,0.3535837262975274,0.594002612637488,44.66836902389504,89,70.27736893257695,15.411658129555622,3.307344297519385,3307.344297519385,213.4309208596411
Col,Riedel+2017,,81.92600195517471,0.0409653670545937,-25.64667896080708,0.0441696505615676,228.5005708527684,-30.432095701013253,24.98992246556993,0.0525190726570461,-6.180262014540927,0.0545129257699717,12.66423767340451,0.0552087521207505,1.7166825446529663,53,1.7748735535819575,21.8037166595459,7.482311058265469,21.54716981132076,2,27.094348907470703,0.0842389836907386,0.3743400573730469,27.094348907470703,2.273887634277344,2.0,56,20.995383850269167,1.8429961271687512,22.17959066649564,7.413457414790949,,0,,,,,0,,,,,14,20.62878571428572,3.1607142857142856,20.975,4.819588692862426,69,-47.85738865621993,49.5121969552646,69,-66.15298773074683,129.93564347879973,69,-46.949066897207054,44.836034585931856,56,-13.746504336683897,4.426923493797502,56,-21.099440967834884,2.952849774461268,56,-4.664774686651905,2.5841561650379283,-2.646504336683897,-8.859440967834884,2.585225313348096,24.99999999999994,69,234.11670525933897,-29.89939404675523,6.278718376293406,6278.7183762934055,225.93817056374644
UPK_37,Sim+2019,,266.52441425216574,0.0489889567660302,5.618102325473493,0.0476350243558588,30.50348465535776,17.082431206976192,-0.9131202957893528,0.0573765223788231,-8.60128938827278,0.0529092857518146,2.8814210728670915,0.0597123362354396,1.078909411872785,40,4.455319213867187,-15.042911529541016,22.926413557590827,19.45,0,,,,,,,40,-17.73934721434489,4.455319285392761,-15.042911529541016,22.92641355759082,,0,,,,,0,,,,,0,,,,,97,286.2030755271695,10.684417557890134,97,168.6070495262301,6.352614445008058,97,102.05990018769992,3.804684140045955,40,-6.650760209738019,18.995208571708165,40,-19.256994880622464,11.041374202116572,40,-9.936484630974183,6.609163477130104,4.449239790261981,-7.016994880622464,-2.686484630974183,39.81070831325058,97,30.50305475306212,17.07941623236016,-0.5292392976686343,-529.2392976686343,430.37068552489393
UPK_92,Sim+2019,,283.40677305367257,0.035880675047507,36.62520553895173,0.0412485196992948,66.59629581826633,15.379556977337565,1.1007795110606182,0.048167154386446,-2.9880975798742457,0.0529722527508095,2.781683510760076,0.0449575531534302,1.08100937352036,83,5.129618449383472,-19.15725326538086,14.105866404334632,19.83132530120482,0,,,,,,,83,-21.785929917571057,5.129618343818619,-19.15725326538086,14.105866404334565,,0,,,,,0,,,,,0,,,,,231,137.79997972700943,6.979723187822589,231,318.2700520978173,8.393279649195687,231,95.41094653230012,4.780381967448923,83,-4.267385551019184,5.494582935875099,83,-19.97689269722104,12.482360024462078,83,-9.340836147802852,3.649923119115271,6.832614448980816,-7.736892697221039,-2.090836147802852,44.66836902389504,231,66.58904887370244,15.38166188901596,-4.782736654115892,-4782.736654115892,235.25312127438576
UPK_622,Sim+2019,,227.67736412677223,0.0408698971531972,-43.89407196773772,0.0397882581758899,327.82236713917393,12.13003159311671,-20.588713207788903,0.0631265279625644,-21.824031907811698,0.0569319604825572,6.843535658389396,0.0551263504669445,1.2700755656266414,48,5.264483133951823,5.530350685119629,20.711709965523216,12.270833333333334,2,0.0994477272033691,0.2575469613075256,7.446043014526367,0.0994477272033691,4.901257038116455,4.5,48,1.8174943929401275,5.241349901682085,5.53035044670105,20.729150263803447,,0,,,,,0,,,,,0,,,,,119,120.99332654929115,4.394553317599394,119,-76.10876683773675,3.300491541530018,119,30.727726179740444,2.686901001680656,48,-8.249257875235132,17.162410994985752,48,-18.51973890212273,10.73234410716346,48,-5.016542209179503,4.350378445598486,2.850742124764867,-6.279738902122729,2.2334577908204967,44.66836902389504,119,327.8287620294735,12.132179691751938,6.097523588555859,6097.523588555859,381.3689995186648
UPK_653,Sim+2019,,281.1952279529831,0.0449347044292249,-36.31917386005559,0.0421379691676089,281.5010662594288,-14.426298919844688,1.4835638932894974,0.0541622061478464,-27.609983733235936,0.0451259211490028,6.689548824369068,0.0515058115908974,1.3142558047645971,92,5.701090937075407,-4.058529853820801,22.80730992852549,9.923913043478262,4,-3.004049301147461,0.3205114006996155,0.5850620865821838,-2.250791311264038,1.5311078668601945,2.0,95,-2.7440857941688868,5.3737316520216085,-3.066088914871216,21.83979545823924,,0,,,,,1,-3.716934928207397,1.0800784077599297,-3.716934928207397,0.0,0,,,,,190,144.83356205215796,4.536332735531465,190,-2.0722615372358413,2.656082255463409,190,-37.28865767389248,3.79436038918769,95,-5.067502418030907,20.986191578839847,95,-17.481642513474103,0.6990294928670155,95,-7.811932921239849,5.870320356609123,6.032497581969093,-5.241642513474103,-0.5619329212398494,31.6227766016838,190,359.18027467279416,-14.43632900321882,6.054138767053298,6054.138767053299,380.01933564139324
UPK_113,CantatGaudin+2020, ,317.4320132893991,0.0234808687007788,34.34425479363324,0.0303680788386951,79.4048721241863,-9.190886128351872,2.1699793553431777,0.0314830830602934,-2.3640715533789063,0.0395573847221605,1.416511615137777,0.0396995616681648,1.270075017755682,15,5.291781616210938,-14.470210075378418,14.199174902904238,24.933333333333334,0,,,,,,,15,-9.950221602121989,5.291781413555145,-14.470210075378418,14.199174902904234,,0,,,,,0,,,,,0,,,,,33,128.3379777393607,5.785658290819111,33,686.1182572236507,27.736541613228788,33,-112.95342046607466,5.534989361864433,15,-1.0422162892924176,2.5926194830695324,15,-11.557495676770982,13.79810212052888,15,-9.055100797022988,2.284183048438543,10.057783710707582,0.6825043232290184,-1.8051007970229875,48.9778883899247,33,79.40528988548616,-9.19193731846366,2.776089049035126,2776.089049035126,124.83040906150241
