cluster,ref,SimbadName,ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,age,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,N_dr3,radial_velocity,radial_velocity_error,radial_velocity_std,rv_nb_transits,N_apogee,vhelio_avg,verr,vscatter,vhelio_avg_std,nvisits_apogee,N_rv_weighted,rv_weighted,rv_weighted_error,rv_weighted_std,X,X_std,Y,Y_std,Z,Z_std,U,U_std,V,V_std,W,W_std,3Dvel
CWNU_1233,He+2022,,88.53760072,0.04536915943,1.67641628,0.04021260515,4.757622841,0.05701959133,0.09006650154,0.04845272377,2.973459688,0.05466771498,6,1.423007607,15.36419487,17.08240891,14.10435486,2.978053808,1.718213558,1.259840369,1,19.43592453,3.170435429,0,16,0,nan,nan,nan,nan,nan,1,19.43592453,3.170435429,0,-298.8893243,6.39046446,-137.9604888,2.942160521,-69.54954604,1.374149855,-17.24875471,0,-11.30474871,0,2.568824855,0,20.7825827
CWNU_1235,He+2022,,331.879735,0.05225693143,59.01031703,0.04766255358,3.147486633,0.06863755765,0.1467167489,0.05996235039,2.210945614,0.05670502911,6.650000095,1.549528868,15.69053849,16.90245521,14.49338167,2.409070056,1.211914726,1.197155496,7,7.475422995,4.084983826,54.96909159,20,0,nan,nan,nan,nan,nan,7,7.475421735,4.084983528,54.96909159,-103.1962559,4.89317427,440.6959836,18.32086663,20.36756186,1.87820371,-8.519031891,12.2473583,5.880660659,53.56852005,-3.975095496,4.344821108,11.08861841
CWNU_1242,He+2022,,65.93793439,0.0697491765,15.23617463,0.04619815946,3.394234078,0.09422337264,-4.203479809,0.07274682075,3.445082606,0.07723695785,6.550000191,1.269046664,15.64201546,17.28491974,14.42863274,2.856288195,1.642905712,1.213382602,4,25.51454735,4.703463554,2.51192208,15.25,0,nan,nan,nan,nan,nan,4,25.51454735,4.703463361,2.51192208,-266.6538525,5.964869619,-0.3557798243,1.820329191,-114.9876386,2.760383856,-23.57204424,2.299850978,-6.364248361,0.4294184171,-9.744328673,0.9819493228,26.28872131
CWNU_1262,He+2022,,73.25745089,0.07450454434,-10.61008542,0.06316529214,-0.1632243941,0.1027960479,-1.905285717,0.0903575023,3.557664707,0.1038642128,7.349999905,1.827798525,16.14602915,17.48212687,14.98645782,2.495669047,1.336098035,1.159571091,4,1.790326834,6.500123978,11.14703234,18,0,nan,nan,nan,nan,nan,4,1.790326878,6.500124127,11.14703234,-210.446812,4.055145141,-117.0455258,3.863917752,-145.098889,4.112939803,0.7289769786,8.673824182,-2.054574516,5.216162699,-2.877973831,4.956257398,3.610459424
CWNU_152,He+2022,,305.8542448,0.01657365175,32.73806996,0.02187312876,-1.670526469,0.02317350226,-5.565253605,0.02994190244,0.943412594,0.02574802672,6.949999809,1.042352564,14.19048264,14.65396208,13.62344091,1.030521617,0.4634792103,0.5670423508,6,-27.98197937,10.08797773,20.13308288,22.66666667,0,nan,nan,nan,nan,nan,6,-27.98198014,10.08797801,20.13308288,325.3835475,7.984224037,1008.357246,25.9367247,-48.61946315,1.650799524,17.52554705,6.027045976,-35.50031093,19.1643101,-8.276120697,1.37626173,40.44639723
CWNU_523,He+2022,,354.5697391,0.04794442003,56.3043448,0.04784613523,6.933908014,0.06315853812,-2.619476103,0.05923984267,2.401127733,0.06132295782,7.25,1.257976879,16.21018843,17.47716619,15.0927468,2.384417447,1.266977345,1.117439964,22,-18.60546875,5.23453383,25.8816777,19.40909091,1,-3.876880884,0.5637485385,5.321106434,0,3,22,-18.22917317,5.105084746,26.02864325,-161.5380881,10.10718958,382.7860735,15.73951816,-37.30001283,6.766200485,-3.282454193,10.02306665,-21.99227979,23.88394347,-7.114018992,2.678337773,23.34618047
CWNU_525,He+2022,,218.5263792,0.04268095434,55.86840837,0.04333664902,8.335681582,0.05690638577,-3.798275058,0.05655734625,2.523519921,0.0611223448,7.099999905,1.638216732,15.36976957,16.50300273,14.36305672,2.139946343,1.133233829,1.006712515,120,-14.77182515,4.352432251,28.41218285,20.78333333,4,-5.749620438,0.2941501617,3.737641144,5.343808928,3.4,120,-14.39269183,4.232440758,28.44854126,-168.3166873,11.44128415,356.5855565,14.16629413,-42.61285683,10.66635055,-6.043028597,12.34165361,-19.93971428,25.58361927,-8.740565615,3.52208421,22.5944216
Dolidze_8,CantatGaudin+2020,Cl Dolidze 8,306.1187104,0.03585975292,42.30540434,0.03811599352,-2.60061718,0.04890838953,-6.093691377,0.04989189062,1.008819349,0.04376991284,7.190000057,1.100024101,15.44531876,16.44128418,14.44868871,1.992593866,1.022260566,0.9703335009,8,-2.785989523,7.120825291,39.64942975,19,2,-11.67646122,0.0609818697,0.08164248616,0.8690052032,2.5,10,-4.564084148,5.708856654,35.6435034,171.1565481,8.962899594,977.8948905,51.70213312,46.69638823,2.520595941,29.07562196,5.682636633,-9.428222799,35.15600401,-6.560296219,2.304591232,31.26212827
FSR_0213,He+2022,,306.1561412,0.03496925116,39.02497715,0.04235800743,-1.482819083,0.04623250961,-3.610987187,0.05351336002,1.022007347,0.0459650135,6.699999809,1.094173965,15.8877063,17.05567993,14.80865112,2.247027435,1.167974472,1.079052887,4,-0.7959156036,6.918278217,15.9676325,21.25,9,-10.84790717,0.3043992254,0.6652508842,5.099632409,2.777777778,12,-6.442543698,1.77348867,10.26727811,213.6268465,7.651418635,955.9359134,32.69052681,13.40542761,1.450019485,15.79668517,2.861839496,-10.07940657,9.918667682,-3.875498824,1.245050773,19.13502522
FSR_0227,He+2022,,306.7908262,0.05989646912,40.0540284,0.06966837456,-2.06880585,0.07795054034,-4.040326222,0.09093381229,1.045312339,0.07828830418,6.25,1.355688898,16.35450022,17.5650699,15.27294601,2.292124096,1.210570185,1.081553811,2,-30.22016335,6.126382351,11.22402382,20,1,-11.88395119,0.1538977772,7.214282513,0,2,2,-26.6662528,3.033898962,14.77793436,190.4190208,5.124024019,938.2276365,27.86875475,16.34885839,1.16595061,14.96885867,2.511496907,-30.17260909,14.59545993,-3.725861624,0.1692907204,33.88709362
FSR_1117,CantatGaudin+2020,[FSR2007] 1117,94.13960654,0.05675838085,-8.950252134,0.06002118954,-3.664233467,0.07132948362,0.8219041778,0.07317752105,1.111269896,0.06952628723,7.190000057,1.400589723,16.00788762,17.04933049,15.03662109,2.012708517,1.041442137,0.9712663797,3,24.30020142,6.449614843,19.77794694,16.33333333,0,nan,nan,nan,nan,nan,3,24.30020018,6.449615002,19.77794694,-713.4217928,97.66974409,-538.4267074,73.82488489,-186.3551873,24.35223177,-21.93721631,15.6150431,-5.80590964,11.48949063,-18.18363698,3.941516172,29.07911106
Gulliver_6,CantatGaudin+2020,Cl Gulliver 6,83.2939268,0.05524409259,-1.661368209,0.04792925752,-0.0208663987,0.06647529916,-0.2243206972,0.05554985313,2.413063717,0.06640412287,7.21999979,1.192529623,15.7495087,17.05046735,14.6539481,2.396519509,1.312197389,1.084321864,61,30.89332656,6.218057601,22.33036908,19.09836066,27,32.74709292,0.09169649309,1.997066744,11.26789741,2.483870968,65,32.43691587,3.606040381,20.42999344,-356.9566684,15.98716097,-168.4696978,8.408249074,-129.2320792,6.952038386,-27.62518237,17.50722031,-13.59063571,8.536443873,-10.22107194,6.294790295,32.43958063
IC_348,CantatGaudin+2020,IC 348,56.12663816,0.08415726449,32.17288215,0.05542665934,4.433558149,0.1110918951,-6.350256231,0.07375753526,3.17404352,0.1019700483,7.070000172,1.088429074,16.05252009,17.87014178,14.76876194,3.101379834,1.817619708,1.283760126,31,12.85148571,8.29806617,27.46930783,11.96774194,118,15.67876266,0.1130250742,2.831849658,4.226657662,5.454545455,121,15.10876557,0.201729588,6.621827799,-283.213905,11.68389045,100.4420744,4.215962628,-96.49253903,3.912380684,-16.41833077,5.920312359,-6.049988341,2.327206367,-7.523269267,2.150452609,19.046352
L_1641S,CantatGaudin+2020,LDN 1641S,85.66632706,0.04524676487,-8.137755177,0.04447581551,0.09334073465,0.05702337593,-0.3701209659,0.05171169898,2.341939098,0.06407941953,0,1.037902524,16.25260663,17.89289022,15.0030354,2.889855139,1.655427127,1.234427855,23,12.237923,8.78314408,27.63766224,21.2173913,51,21.45294788,0.102460347,0.2930533091,9.456910768,1.450980392,56,21.98201166,1.126665169,12.13327663,-341.0625711,11.9137095,-217.1227044,7.740148828,-138.9334148,5.02255589,-17.06763252,9.645097623,-11.7776439,6.294711161,-7.336045978,3.913430536,21.99623937
LDN_988e,CantatGaudin+2020,NAME [C86] L988 e Cluster,316.0274388,0.05357545434,50.24739236,0.05271211537,1.328752158,0.07255659681,-3.491275105,0.06753842036,1.616726586,0.06021196192,0,1.054275513,16.61834717,18.47083473,15.3213644,3.14947176,1.867902994,1.281569004,3,-18.95331573,12.45524724,8.962069216,26,0,nan,nan,nan,nan,nan,3,-18.95331494,12.45524756,8.962069216,-5.844572178,0.4624731485,619.464958,29.44490339,24.30318199,1.170385651,6.191639035,0.3713621893,-18.51610423,8.956842359,-9.994943482,0.6019888591,21.933568
LP_2371,He+2022,,82.87348927,0.06355296886,2.115158076,0.05232237271,-0.798292682,0.0786296792,0.8198085635,0.0609709884,2.580346934,0.07642663532,7.150000095,1.541290943,15.32484805,16.4495027,14.32495069,2.12455153,1.124653455,0.9998978351,164,27.28028535,4.800029476,17.93052603,20.12804878,50,32.73290771,0.1447506115,1.016870564,8.660568081,1.965517241,177,27.53331075,3.564209003,15.87415596,-347.0886314,28.38392652,-136.9046029,10.04021223,-111.4250498,6.252649411,-25.19370389,14.10938289,-7.582887724,5.838499346,-8.49233646,4.770413816,27.6467481
NGC_1333,CantatGaudin+2020,NGC 1333,52.29666656,0.07920776367,31.31452712,0.05766663551,7.086426048,0.1015598679,-9.947266071,0.07539889336,3.383835667,0.08833648682,7.059999943,1.110757828,16.34194336,18.27334106,15.01485107,3.258487244,1.931398621,1.327088928,7,5.934803554,7.957459041,78.13444959,12.57142857,38,13.08967912,0.1640590766,1.256054316,10.31527511,3.153846154,40,12.18485846,0.4400457989,11.48847703,-257.6636571,10.11802175,102.3353934,4.182904764,-103.6631045,4.068183417,-15.03362813,9.983635089,-11.7406117,4.292948713,-9.032920185,4.094450968,21.10558185
